,train_time,predict_time,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,0 days 00:00:09.361921,0 days 00:00:09.361921,0 days 00:00:18.723842,3256100,100,360643033,32
1,0 days 00:00:14.465023,0 days 00:00:14.465023,0 days 00:00:28.930046,6512200,200,721286033,32
2,0 days 00:00:21.154242,0 days 00:00:21.154242,0 days 00:00:42.308484,9768300,300,1081929033,32
3,0 days 00:00:26.025206,0 days 00:00:26.025206,0 days 00:00:52.050412,13024400,400,1442572033,32
4,0 days 00:00:32.692179,0 days 00:00:32.692179,0 days 00:01:05.384358,16280500,500,1803215033,32
5,0 days 00:00:38.637826,0 days 00:00:38.637826,0 days 00:01:17.275652,19536600,600,2163858033,32
6,0 days 00:00:43.957278,0 days 00:00:43.957278,0 days 00:01:27.914556,22792700,700,2524501033,32
7,0 days 00:00:51.051699,0 days 00:00:51.051699,0 days 00:01:42.103398,26048800,800,2885144033,32
8,0 days 00:00:55.535667,0 days 00:00:55.535667,0 days 00:01:51.071334,29304900,900,3245787033,32
9,0 days 00:01:02.969590,0 days 00:01:02.969590,0 days 00:02:05.939180,32561000,1000,3606430033,32
