,dataset_size_num,dataset_size,pyspark_time,pyspark_train_time,pyspark_predict_time,sklearn_time,sklearn_train_time,sklearn_predict_time
0,1,3606463,5.705399000000001,5.679153,0.026246,0.03934,0.036945,0.002395
1,10,36064333,5.296182,5.280164,0.016018,0.44254699999999997,0.431934,0.010613
2,20,72128633,6.681997,6.666873,0.015124,0.939434,0.919447,0.019987
3,30,108192933,9.998681999999999,9.98106,0.017622,1.574991,1.546295,0.028696
4,40,144257233,12.884846,12.869205,0.015641,2.214908,2.177883,0.037025
5,50,180321533,15.357634000000001,15.341523,0.016111,2.901492,2.85459,0.046902
6,60,216385833,18.587578,18.571992,0.015586,3.7123269999999997,3.653647,0.05868
7,70,252450133,21.923783999999998,21.909435,0.014349,4.459961,4.396141,0.06382
8,80,288514433,24.512758,24.496238,0.01652,5.270283,5.193277,0.077006
9,90,324578733,27.282647,27.269435,0.013212,6.113182999999999,6.031452,0.081731
10,100,360643033,30.513393999999998,30.495005,0.018389,7.149706,7.051712,0.097994
