,train_time,predict_time,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,5.419904,0,5.419904,32561,1,3606463,4
1,6.182522,0,6.182522,325610,10,36064333,4
2,7.522865,0,7.522865,651220,20,72128633,4
3,9.751782,0,9.751782,976830,30,108192933,4
4,12.702032,0,12.702032,1302440,40,144257233,4
5,16.641072,0,16.641072,1628050,50,180321533,4
6,19.221521,0,19.221521,1953660,60,216385833,4
7,21.943053,0,21.943053,2279270,70,252450133,4
8,26.063496,0,26.063496,2604880,80,288514433,4
9,28.980555,0,28.980555,2930490,90,324578733,4
10,32.277783,0,32.277783,3256100,100,360643033,4
