,train_time,predict_time,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,09.361921,0,09.361921,3256100,100,360643033,32
1,14.465023,0,14.465023,6512200,200,721286033,32
2,21.154242,0,21.154242,9768300,300,1081929033,32
3,26.025206,0,26.025206,13024400,400,1442572033,32
4,32.692179,0,32.692179,16280500,500,1803215033,32
5,38.637826,0,38.637826,19536600,600,2163858033,32
6,43.957278,0,43.957278,22792700,700,2524501033,32
7,51.051699,0,51.051699,26048800,800,2885144033,32
8,55.535667,0,55.535667,29304900,900,3245787033,32
9,62.969590,0,62.969590,32561000,1000,3606430033,32
