,dataset_size_num,dataset_size,pyspark_time,pyspark_train_time,pyspark_predict_time,sklearn_time,sklearn_train_time,sklearn_predict_time
0,1,3606463,5.342569,5.304296,0.038273,0.049416,0.044015,0.005401
1,10,36064333,5.611292,5.589747,0.021545,0.492231,0.481801,0.01043
2,20,72128633,7.091638,7.065073,0.026565,1.103482,1.084116,0.019366
3,30,108192933,9.727761999999998,9.705241,0.022521,1.86403,1.836648,0.027382
4,40,144257233,12.573827,12.550407,0.02342,2.7315769999999997,2.696029,0.035548
5,50,180321533,15.359257999999999,15.336096,0.023162,3.634792,3.591555,0.043237
6,60,216385833,17.892400000000002,17.875353,0.017047,4.637677999999999,4.57682,0.060858
7,70,252450133,20.564138999999997,20.542702,0.021437,5.289684,5.219495,0.070189
8,80,288514433,23.688551,23.670607,0.017944,6.1373999999999995,6.056976,0.080424
9,90,324578733,25.977529,25.961877,0.015652,7.347678999999999,7.256327,0.091352
10,100,360643033,29.002465,28.983153,0.019312,8.332149,8.229681,0.102468
