,dataset_size_num,dataset_size,pyspark_time,pyspark_train_time,pyspark_predict_time,sklearn_time,sklearn_train_time,sklearn_predict_time
0,1,3606463,6.0356760000000005,6.002245,0.033431,0.043192999999999995,0.040012,0.003181
1,10,36064333,7.315833,7.291428,0.024405,0.487161,0.475792,0.011369
2,20,72128633,9.348185,9.319606,0.028579,1.079134,1.056237,0.022897
3,30,108192933,12.471484,12.447873,0.023611,1.9205940000000001,1.890346,0.030248
4,40,144257233,13.26356,13.245539,0.018021,2.229108,2.193026,0.036082
5,50,180321533,15.782727000000001,15.765809,0.016918,3.194112,3.136622,0.05749
6,60,216385833,19.008494000000002,18.995138,0.013356,3.689693,3.630303,0.05939
7,70,252450133,21.938662,21.920659,0.018003,4.587741,4.518028,0.069713
8,80,288514433,25.564655000000002,25.548228,0.016427,5.447775,5.369713,0.078062
9,90,324578733,33.464475,33.443788,0.020687,7.600253,7.511597,0.088656
10,100,360643033,37.77448,37.75624,0.01824,7.59844,7.5043,0.09414
