,train_time,predict_time,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,5.388579,0,5.388579,32561,1,3606463,4
1,6.024444,0,6.024444,325610,10,36064333,4
2,7.115834,0,7.115834,651220,20,72128633,4
3,10.186339,0,10.186339,976830,30,108192933,4
4,13.131875,0,13.131875,1302440,40,144257233,4
5,15.396685,0,15.396685,1628050,50,180321533,4
6,17.92649,0,17.92649,1953660,60,216385833,4
7,21.235517,0,21.235517,2279270,70,252450133,4
8,23.207524,0,23.207524,2604880,80,288514433,4
9,27.727314,0,27.727314,2930490,90,324578733,4
10,29.147066,0,29.147066,3256100,100,360643033,4
