,train_time,predict_time,time,dataset_rows,dataset_size_num,dataset_size,number_of_cores
0,5.246281,0,5.246281,32561,1,3606463,4
1,5.679781,0,5.679781,325610,10,36064333,4
2,7.247298,0,7.247298,651220,20,72128633,4
3,10.230287,0,10.230287,976830,30,108192933,4
4,13.280413,0,13.280413,1302440,40,144257233,4
5,15.831495,0,15.831495,1628050,50,180321533,4
6,20.58518,0,20.58518,1953660,60,216385833,4
7,21.453714,0,21.453714,2279270,70,252450133,4
8,24.719506,0,24.719506,2604880,80,288514433,4
9,27.253238,0,27.253238,2930490,90,324578733,4
10,30.833401,0,30.833401,3256100,100,360643033,4
