,dataset_size_num,dataset_size,pyspark_time,pyspark_train_time,pyspark_predict_time,sklearn_time,sklearn_train_time,sklearn_predict_time
0,1,3606463,5.627863,5.599232,0.028631,0.040807,0.038046,0.002761
1,10,36064333,5.541818,5.521527,0.020291,0.444376,0.432123,0.012253
2,20,72128633,6.812835,6.794649,0.018186,0.966609,0.946046,0.020563
3,30,108192933,10.559393,10.543678,0.015715,1.655025,1.624408,0.030617
4,40,144257233,14.783741,14.752649,0.031092,2.3649220000000004,2.326576,0.038346
5,50,180321533,17.456169,17.440237,0.015932,3.2849310000000003,3.229776,0.055155
6,60,216385833,20.942126000000002,20.922668,0.019458,4.001491,3.943286,0.058205
7,70,252450133,22.683003,22.664922,0.018081,4.827918,4.762919,0.064999
8,80,288514433,26.285185000000002,26.268501,0.016684,5.500621,5.42246,0.078161
9,90,324578733,28.546736,28.533552,0.013184,6.645722,6.560427,0.085295
10,100,360643033,33.079656,33.06476,0.014896,7.357812,7.262897,0.094915
